id,moviw,gener,prce,sum
SF500,Fifty False Generations,Sci-Fi,G   ,21.0,0
SF501,Attack of the Comet Cannibals,Sci-Fi,PG  ,20.0,0
SF502,Book of the Demon Dead,Sci-Fi,PG  ,20.0,0
SF503,Twisted,Sci-Fi,PG  ,20.0,0
SF504,Into the Light,Sci-Fi,PG  ,15.0,0
SF505,Sister of the 12th Dimension,Sci-Fi,PG  ,19.0,2
SF596,Pluto Strikes Back,Sci-Fi,G   ,12.0,25
SF597,Space Station Surprise,Sci-Fi,R   ,22.0,35
SF598,Saturday Night Sundance,Sci-Fi,PG13,29.0,28
SF599,Rogue Alien Killers,Sci-Fi,PG  ,19.0,25
SF600,Lost in Time,Sci-Fi,PG13,21.0,25
SF601,Time Travel Thompsons,Sci-Fi,R   ,32.0,30
SF602,Take Me To The Moon and Beyond,Sci-Fi,G   ,21.0,25
SF603,Venus Rising,Sci-Fi,PG  ,20.0,25
SF604,Mercury Murders,Sci-Fi,PG  ,20.0,25
SF605,Saturn's Rings,Sci-Fi,PG  ,20.0,25
SF606,FX 2099,Sci-Fi,PG  ,15.0,25
SF607,Awakening of the Cyclops,Sci-Fi,PG  ,19.0,27
XX200,Racecar Ronnie,Drama,X   ,101.0,103
XX201,Go On By,Drama,X   ,91.0,53
XX302,The Township Turnstiles,Drama,X   ,94.0,87
XX303,Right Front Tackle,Drama,X   ,84.0,37
XX404,Tartufo,Drama,X   ,91.0,96
XX405,A Condo in Moscow,Drama,X   ,81.0,46
XX506,Lawnmower Larry,Drama,X   ,89.0,86
XX507,Birds Flew Over the Tennis Court,Drama,X   ,79.0,36
XX608,Beyond River's Edge,Drama,X   ,89.0,111
XX609,Timber!,Drama,X   ,79.0,61

